dataset,version,metric,mode,opencompass.models.huggingface.HuggingFace_lesliehd_Mistral-7B-Instruct-v0.2-16-bit-quantized
lukaemon_mmlu_college_biology,0eddf6,accuracy,ppl,68.75
lukaemon_mmlu_college_chemistry,9e2300,accuracy,ppl,40
lukaemon_mmlu_college_computer_science,5a1625,accuracy,ppl,52
lukaemon_mmlu_college_mathematics,13e9be,accuracy,ppl,39
lukaemon_mmlu_college_physics,f05705,accuracy,ppl,43.14
lukaemon_mmlu_electrical_engineering,87e5d9,accuracy,ppl,60.69
lukaemon_mmlu_astronomy,69352a,accuracy,ppl,62.5
lukaemon_mmlu_anatomy,a367fc,accuracy,ppl,58.52
lukaemon_mmlu_abstract_algebra,45f14f,accuracy,ppl,30
lukaemon_mmlu_machine_learning,16eb9e,accuracy,ppl,45.54
lukaemon_mmlu_clinical_knowledge,b9517f,accuracy,ppl,67.17
lukaemon_mmlu_global_facts,45ca5d,accuracy,ppl,36
lukaemon_mmlu_management,f1f94e,accuracy,ppl,73.79
lukaemon_mmlu_nutrition,e8c66b,accuracy,ppl,68.95
lukaemon_mmlu_marketing,6b54fd,accuracy,ppl,85.04
lukaemon_mmlu_professional_accounting,aa502e,accuracy,ppl,45.39
lukaemon_mmlu_high_school_geography,c5312c,accuracy,ppl,76.26
lukaemon_mmlu_international_law,c502b5,accuracy,ppl,80.99
lukaemon_mmlu_moral_scenarios,9dab41,accuracy,ppl,31.28
lukaemon_mmlu_computer_security,557e7e,accuracy,ppl,69
lukaemon_mmlu_high_school_microeconomics,9405bf,accuracy,ppl,65.55
lukaemon_mmlu_professional_law,f36e47,accuracy,ppl,43.61
lukaemon_mmlu_medical_genetics,038ad3,accuracy,ppl,67
lukaemon_mmlu_professional_psychology,429c8f,accuracy,ppl,63.73
lukaemon_mmlu_jurisprudence,ae7f17,accuracy,ppl,74.07
lukaemon_mmlu_world_religions,904875,accuracy,ppl,83.63
lukaemon_mmlu_philosophy,c9014a,accuracy,ppl,70.1
lukaemon_mmlu_virology,611723,accuracy,ppl,49.4
lukaemon_mmlu_high_school_chemistry,a25dca,accuracy,ppl,50.74
lukaemon_mmlu_public_relations,02be4e,accuracy,ppl,70.91
lukaemon_mmlu_high_school_macroeconomics,267c80,accuracy,ppl,55.9
lukaemon_mmlu_human_sexuality,9a9941,accuracy,ppl,73.28
lukaemon_mmlu_elementary_mathematics,197da6,accuracy,ppl,38.1
lukaemon_mmlu_high_school_physics,777e6e,accuracy,ppl,34.44
lukaemon_mmlu_high_school_computer_science,1bae4a,accuracy,ppl,65
lukaemon_mmlu_high_school_european_history,ad843a,accuracy,ppl,73.94
lukaemon_mmlu_business_ethics,83933d,accuracy,ppl,60
lukaemon_mmlu_moral_disputes,2a78ed,accuracy,ppl,67.92
lukaemon_mmlu_high_school_statistics,c6e690,accuracy,ppl,45.37
lukaemon_mmlu_miscellaneous,ab0a88,accuracy,ppl,78.29
lukaemon_mmlu_formal_logic,fa56ca,accuracy,ppl,42.06
lukaemon_mmlu_high_school_government_and_politics,813526,accuracy,ppl,85.49
lukaemon_mmlu_prehistory,017963,accuracy,ppl,69.75
lukaemon_mmlu_security_studies,d60130,accuracy,ppl,71.02
lukaemon_mmlu_high_school_biology,6f158a,accuracy,ppl,63.55
lukaemon_mmlu_logical_fallacies,03a488,accuracy,ppl,72.39
lukaemon_mmlu_high_school_world_history,7d5f06,accuracy,ppl,75.53
lukaemon_mmlu_professional_medicine,cdcce1,accuracy,ppl,61.76
lukaemon_mmlu_high_school_mathematics,eef511,accuracy,ppl,30.74
lukaemon_mmlu_college_medicine,21a6fb,accuracy,ppl,58.38
lukaemon_mmlu_high_school_us_history,e73ee8,accuracy,ppl,75.98
lukaemon_mmlu_sociology,423c74,accuracy,ppl,72.64
lukaemon_mmlu_econometrics,efcf91,accuracy,ppl,41.23
lukaemon_mmlu_high_school_psychology,971917,accuracy,ppl,79.45
lukaemon_mmlu_human_aging,406d1b,accuracy,ppl,61.88
lukaemon_mmlu_us_foreign_policy,ac2379,accuracy,ppl,81
lukaemon_mmlu_conceptual_physics,7f414f,accuracy,ppl,53.62
