dataset,version,metric,mode,opencompass.models.huggingface.HuggingFace_lesliehd_Mistral-7B-Instruct-v0.2-8-bit-quantized
lukaemon_mmlu_college_biology,0eddf6,accuracy,ppl,63.89
lukaemon_mmlu_college_chemistry,9e2300,accuracy,ppl,38.00
lukaemon_mmlu_college_computer_science,5a1625,accuracy,ppl,46.00
lukaemon_mmlu_college_mathematics,13e9be,accuracy,ppl,38.00
lukaemon_mmlu_college_physics,f05705,accuracy,ppl,45.10
lukaemon_mmlu_electrical_engineering,87e5d9,accuracy,ppl,55.86
lukaemon_mmlu_astronomy,-,-,-,-
lukaemon_mmlu_anatomy,a367fc,accuracy,ppl,59.26
lukaemon_mmlu_abstract_algebra,45f14f,accuracy,ppl,34.00
lukaemon_mmlu_machine_learning,16eb9e,accuracy,ppl,38.39
lukaemon_mmlu_clinical_knowledge,b9517f,accuracy,ppl,66.04
lukaemon_mmlu_global_facts,45ca5d,accuracy,ppl,36.00
lukaemon_mmlu_management,f1f94e,accuracy,ppl,67.96
lukaemon_mmlu_nutrition,e8c66b,accuracy,ppl,67.97
lukaemon_mmlu_marketing,6b54fd,accuracy,ppl,83.76
lukaemon_mmlu_professional_accounting,aa502e,accuracy,ppl,47.52
lukaemon_mmlu_high_school_geography,-,-,-,-
lukaemon_mmlu_international_law,c502b5,accuracy,ppl,74.38
lukaemon_mmlu_moral_scenarios,9dab41,accuracy,ppl,33.52
lukaemon_mmlu_computer_security,557e7e,accuracy,ppl,67.00
lukaemon_mmlu_high_school_microeconomics,9405bf,accuracy,ppl,64.71
lukaemon_mmlu_professional_law,f36e47,accuracy,ppl,41.07
lukaemon_mmlu_medical_genetics,038ad3,accuracy,ppl,67.00
lukaemon_mmlu_professional_psychology,429c8f,accuracy,ppl,59.64
lukaemon_mmlu_jurisprudence,ae7f17,accuracy,ppl,75.93
lukaemon_mmlu_world_religions,-,-,-,-
lukaemon_mmlu_philosophy,c9014a,accuracy,ppl,70.42
lukaemon_mmlu_virology,-,-,-,-
lukaemon_mmlu_high_school_chemistry,-,-,-,-
lukaemon_mmlu_public_relations,02be4e,accuracy,ppl,68.18
lukaemon_mmlu_high_school_macroeconomics,267c80,accuracy,ppl,54.87
lukaemon_mmlu_human_sexuality,9a9941,accuracy,ppl,71.76
lukaemon_mmlu_elementary_mathematics,197da6,accuracy,ppl,41.01
lukaemon_mmlu_high_school_physics,777e6e,accuracy,ppl,31.13
lukaemon_mmlu_high_school_computer_science,1bae4a,accuracy,ppl,62.00
lukaemon_mmlu_high_school_european_history,-,-,-,-
lukaemon_mmlu_business_ethics,83933d,accuracy,ppl,59.00
lukaemon_mmlu_moral_disputes,2a78ed,accuracy,ppl,69.08
lukaemon_mmlu_high_school_statistics,c6e690,accuracy,ppl,46.76
lukaemon_mmlu_miscellaneous,ab0a88,accuracy,ppl,75.61
lukaemon_mmlu_formal_logic,fa56ca,accuracy,ppl,39.68
lukaemon_mmlu_high_school_government_and_politics,-,-,-,-
lukaemon_mmlu_prehistory,017963,accuracy,ppl,67.59
lukaemon_mmlu_security_studies,d60130,accuracy,ppl,71.43
lukaemon_mmlu_high_school_biology,6f158a,accuracy,ppl,63.55
lukaemon_mmlu_logical_fallacies,-,-,-,-
lukaemon_mmlu_high_school_world_history,7d5f06,accuracy,ppl,73.00
lukaemon_mmlu_professional_medicine,cdcce1,accuracy,ppl,59.93
lukaemon_mmlu_high_school_mathematics,eef511,accuracy,ppl,32.96
lukaemon_mmlu_college_medicine,-,-,-,-
lukaemon_mmlu_high_school_us_history,-,-,-,-
lukaemon_mmlu_sociology,-,-,-,-
lukaemon_mmlu_econometrics,efcf91,accuracy,ppl,43.86
lukaemon_mmlu_high_school_psychology,971917,accuracy,ppl,79.08
lukaemon_mmlu_human_aging,406d1b,accuracy,ppl,61.88
lukaemon_mmlu_us_foreign_policy,ac2379,accuracy,ppl,80.00
lukaemon_mmlu_conceptual_physics,7f414f,accuracy,ppl,48.94
